Статус оповещения;Перегон;Продолжительность;Признак вины сторонней организации;Признак вины сервисной организации;Предприятие сторон. организаций;Предприятие сервис. организаций;Серия отказавшего локомотива;Бортовой номер отказавшего локомотива;Категория отказа;ОТС 1 уровня;ОТС 3 уровня;ID отказа;Начало отказа;Группа причин;ОТС 2 уровня;Вид следования отказавшего локомотива;теп / эле;месяц;дат;ден
расследован;ВОРОБЕЦКАЯ;89;нет;есть;;;2ТЭ116;481;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11617154;10.01.2021 06:31;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;тепловозы;1;10.01.2021;10
расследован;БАБАЕВО;7;нет;есть;;;ВЛ15;10;2 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Блок выпрямителей системы автоматизированного управления рекуперативным торможением;11617185;10.01.2021 07:02;Неисправность блока выпрямителей системы автоматизированного управления рекуперативным торможением;Система автоматизированного управления рекуперативным торможением;грузовое;электровозы;1;10.01.2021;10
расследован;КОВДОР;69;нет;нет;;;2ТЭ116У;212;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Коллекторная секция холодильника;11617302;10.01.2021 07:51;Неисправность коллекторной секции холодильника;Секции холодильника;грузовое;тепловозы;1;10.01.2021;10
расследован;БАБАЕВО;10;есть;нет;без клейма;;2ЭС4К;28;3 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Электронный блок микропроцессорной системы управления и диагностики (МСУД);11617333;10.01.2021 09:42;Неисправность МСУД;Микропроцессорная система управления и диагностики (МСУД);грузовое;электровозы;1;10.01.2021;10
расследован;БАБАЕВО;56;нет;есть;;;2ТЭ116У;145;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Блок-контакты реле давления воздуха;11617430;10.01.2021 10:44;Неисправность блок-контактов реле давления воздуха;Реле давления воздуха;грузовое;тепловозы;1;10.01.2021;10
расследован;БАБАЕВО;12;нет;нет;;;2ЭС5К;461;3 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Масляный насос поездного компрессора;11617590;10.01.2021 09:31;Неисправность масляного насоса поездного компрессора;Компрессор поездной;грузовое;электровозы;1;10.01.2021;10
расследован;ХЕЛЮЛЯ-КААЛАМО;109;нет;есть;;;ТЭМ2;2416;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Аккумуляторная батарея;11617613;10.01.2021 12:34;Неисправность аккумуляторной батареи;Аккумулятор;хозяйственное;тепловозы;1;10.01.2021;10
расследован;СВИРЬ;14;нет;есть;;;ВЛ10;1193;3 категория;Экипажная часть и механическое оборудование локомотива  МВПС;Балансир тормозной рычажной передачи локомотива  МВПС;11617614;10.01.2021 14:20;Неисправность балансира тормозной рычажной передачи локомотива  МВПС;Тормозная рычажная передача локомотива  МВПС;грузовое;электровозы;1;10.01.2021;10
расследован;БАБАЕВО;93;нет;есть;;;ВЛ15;10;1 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Блок выпрямителей системы автоматизированного управления рекуперативным торможением;11617710;10.01.2021 15:53;Неисправность блока выпрямителей системы автоматизированного управления рекуперативным торможением;Система автоматизированного управления рекуперативным торможением;грузовое;электровозы;1;10.01.2021;10
расследован;СПБ-СОРТ-МОСК;11;нет;есть;;;ВЛ10;1739;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Изолированный стержень электропневматического контактора силовой цепи;11617856;10.01.2021 23:24;Неисправность изолированного стержня электропневматического контактора силовой цепи;Контактор электропневматический силовой цепи;грузовое;электровозы;1;10.01.2021;10
расследован;ИДЕЛЬ;39;нет;есть;;;2ТЭ116У;158;2 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Микропроцессорная система управления регулирования и диагностики (МПСУ-ТП);11618070;11.01.2021 05:20;Неисправность блока МПСУ-ТП;Микропроцессорная система управления регулирования и диагностики (МПСУ-ТП);грузовое;тепловозы;1;11.01.2021;11
расследован;ЕЛИЗАВЕТИНО;115;есть;нет;без клейма;;2ТЭ116;710;1 категория;Экипажная часть и механическое оборудование локомотива  МВПС;Корпус автосцепки локомотива  МВПС;11618071;11.01.2021 05:20;Неисправность корпуса автосцепки локомотива  МВПС;Автосцепка локомотива  МВПС;грузовое;тепловозы;1;11.01.2021;11
расследован;ЛУГА I;7;нет;есть;;;2ТЭ116;1296;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Контакторный элемент реверсивного переключатель;11618122;11.01.2021 06:27;Неисправность контакторного элемента реверсивного переключатель;Реверсивный переключатель;грузовое;тепловозы;1;11.01.2021;11
расследован;БОЛОГОЕ-МОСК;14;нет;есть;;;2ТЭ116;570;3 категория;Дизель и дизельное оборудование локомотива  МВПС;Вал ротора турбокомпрессора;11618189;10.01.2021 22:00;Неисправность вала ротора турбокомпрессора;Турбокомпрессор;грузовое;тепловозы;1;10.01.2021;10
расследован;БОЛОГОЕ-МОСК;113;есть;нет;без клейма;;2ТЭ25КМ;452;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Радиатор секции холодильника;11618190;11.01.2021 03:55;Неисправность радиатора секции холодильника;Секции холодильника;грузовое;тепловозы;1;11.01.2021;11
расследован;КАННЕЛЬЯРВИ-КИРИЛЛОВСКОЕ;5;нет;есть;;;ВЛ10;1856;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11618306;08.01.2021 14:39;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;электровозы;1;08.01.2021;8
расследован;БАБАЕВО;14;нет;нет;;;ВЛ10У;1029;3 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Корпус масловлагоотделителя;11618310;11.01.2021 08:00;Неисправность корпуса масловлагоотделителя;Масловлагоотделитель;грузовое;электровозы;1;11.01.2021;11
расследован;СПБ-ГЛАВНЫЙ;13;нет;есть;;;ТЭМ18В;39;3 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Пружина реле давления;11618443;11.01.2021 09:35;Неисправность пружины реле давления;Реле давления;маневровое;тепловозы;1;11.01.2021;11
расследован;ЛУГА I;120;нет;есть;;;2ТЭ116;1296;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Пальцедержатели реверсивного переключателя;11618478;11.01.2021 07:30;Неисправность пальцедержателей реверсивного переключателя;Реверсивный переключатель;грузовое;тепловозы;1;11.01.2021;11
